model,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,r_wis,improvement,percent
COVID-19_forecast_model,1,25.010223981900438,12.205608597285073,5.048642533936652,7.755972850678756,0.045746606334841636,0.12085972850678751,41.784162895927466,0.585972850678733,0.9710407239819003,0.4697092292453834,53.029077075461664,0.5302907707546166
COVID-19_forecast_model,2,39.49923992673993,17.039807692307694,8.1036172161172,14.355815018315074,0.009835164835164696,0.1685668498168502,67.7454212454222,0.5109890109890118,0.9578754578754585,0.563075295564324,43.6924704435676,0.436924704435676
COVID-19_forecast_model,3,52.06713623725673,21.007497683039844,10.614967562557856,20.444670991658853,-0.017349397590360912,0.20200417052826897,89.59754402224226,0.46455050973123213,0.937442075996292,0.6122417390080119,38.77582609919881,0.38775826099198807
COVID-19_forecast_model,4,62.25092870544088,24.49028142589119,12.399061913696059,25.3615853658538,-0.03450281425891188,0.22446060037523366,107.01242964352811,0.44559099437148003,0.9141651031894932,0.6350564859061857,36.49435140938143,0.3649435140938143
Influenza_forecast_model,1,17.797636946386948,7.238837412587417,6.101515151515142,4.457284382284402,0.031072261072260715,-4.0792540792405e-4,30.23222610722623,0.5466200466200452,0.9533799533799533,0.4170271574543461,58.2972842545654,0.582972842545654
Influenza_forecast_model,2,31.229662721893494,10.019189349112418,12.986923076923082,8.223550295857997,-0.01698224852070953,0.009615384615384548,52.76242603550326,0.4813609467455612,0.9056213017751495,0.5207769331826245,47.922306681737545,0.4792230668173755
Influenza_forecast_model,3,44.1950961538461,12.177668269230768,20.556490384615294,11.460937500000034,-0.06227163461538408,0.020718149038460646,72.67908653846192,0.4164663461538486,0.8596754807692324,0.5913026701853847,40.869732981461524,0.40869732981461526
Influenza_forecast_model,4,56.19896520146524,13.927536630036625,28.202930402930164,14.068498168498149,-0.09953601953601769,0.03548534798534837,89.59951159951109,0.3687423687423666,0.8177655677655661,0.632997945488507,36.7002054511493,0.36700205451149304
RSV_forecast_model,1,4.885111940298508,2.3689427860696517,1.3323383084577114,1.183830845771145,0.08616915422885593,0.013059701492537464,8.180348258706456,0.6318407960199001,0.9875621890547265,0.545448341992558,45.455165800744204,0.454551658007442
RSV_forecast_model,2,7.1138184079602,3.1583457711442793,2.0017412935323415,1.9537313432835768,0.06228855721393085,0.023383084577114157,12.110696517412926,0.5883084577114436,0.9788557213930349,0.5727904080393421,42.72095919606579,0.4272095919606579
RSV_forecast_model,3,9.435236318407961,3.7951865671641776,2.8547263681592088,2.785323383084575,0.03865671641791057,0.05572139303482651,16.060945273631926,0.5547263681592055,0.9601990049751248,0.6021294952761016,39.787050472389836,0.3978705047238984
RSV_forecast_model,4,11.657798507462683,4.329440298507464,3.775621890547264,3.552736318407951,0.014527363184079413,0.0871268656716415,19.684079601990117,0.5136815920398001,0.9427860696517407,0.6245319330353435,37.54680669646565,0.3754680669646565
